"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2010","Mets","2348","6144","128","656","625","130","8.2 %","17.8 %",".134",".287",".249",".314",".383",".307","89","10.6","-70.9","43.5","17.0"
"1975","Rangers","1754","6343","134","714","675","102","9.7 %","13.6 %",".115",".279",".256",".330",".371",".322","99","-3.3","-12.7","-31.8","16.9"
"2015","Marlins","2297","5988","120","613","575","112","6.3 %","19.2 %",".124",".307",".260",".310",".384",".302","89","0.2","-75.1","48.0","16.9"
"1988","Royals","1744","6086","121","704","671","137","8.0 %","15.5 %",".131",".291",".259",".321",".391",".319","99","2.3","-7.5","-34.0","16.9"
"1986","Padres","2356","6118","136","656","629","96","7.9 %","15.0 %",".126",".290",".261",".321",".388",".314","96","-8.6","-36.8","1.3","16.9"
"1983","Red Sox","1700","6251","142","724","690","30","8.6 %","12.1 %",".139",".289",".270",".335",".409",".332","99","-5.2","-10.2","-33.2","16.9"
"2014","Cubs","2358","6102","157","614","590","65","7.2 %","24.2 %",".146",".296",".239",".300",".385",".303","91","4.5","-59.0","31.7","16.9"
"1953","White Sox","1920","5986","74","716","669","73","10.0 %","8.8 %",".106",".276",".258",".341",".364",".328","92","-3.0","-63.6","30.0","16.8"
"1981","Dodgers","1461","4189","82","450","427","73","7.9 %","13.1 %",".112",".287",".262",".323",".374",".318","101","-2.3","1.2","16.5","16.8"
"1996","Red Sox","1785","6543","209","928","882","91","9.8 %","15.6 %",".173",".311",".283",".359",".457",".356","104","-3.3","32.1","-97.0","16.8"
"2007","Dodgers","2417","6282","129","735","706","137","8.1 %","13.8 %",".131",".303",".275",".337",".406",".326","94","18.3","-33.3","-1.5","16.8"
"2015","Orioles","2249","6007","217","713","686","44","7.0 %","22.2 %",".171",".291",".250",".307",".421",".315","96","-4.9","-31.9","-6.3","16.8"
"1960","Reds","2020","5939","140","640","604","73","8.6 %","14.4 %",".138",".273",".250",".318",".388",".316","91","1.9","-62.0","30.4","16.8"
"1996","Expos","2312","6168","148","741","696","108","8.0 %","17.4 %",".144",".300",".262",".327",".406",".321","92","4.9","-58.4","44.8","16.8"
"1921","Browns","1714","6103","67","835","726","91","6.8 %","6.6 %",".121",".318",".303",".357",".424",".360","94","5.3","-44.2","7.5","16.8"
"1953","Tigers","1970","6150","108","695","661","30","8.2 %","9.8 %",".121",".283",".266",".331",".387",".329","91","-3.3","-72.4","32.4","16.8"
"2015","Reds","2337","6196","167","640","613","134","8.0 %","20.3 %",".146",".290",".248",".312",".394",".307","91","11.6","-56.2","20.8","16.8"
"2003","Cubs","2285","6187","172","724","691","73","8.0 %","18.7 %",".157",".297",".259",".323",".416",".321","91","-9.4","-83.7","50.9","16.8"
"1941","Cubs","1785","5895","99","665","610","39","9.5 %","11.3 %",".112",".274",".253",".327",".365",".327","96","5.2","-19.7","7.2","16.7"
"1983","Padres","2122","6163","93","653","592","179","7.8 %","13.3 %",".100",".277",".250",".311",".351",".295","85","8.4","-101.1","63.8","16.7"
"1978","Padres","2160","6081","75","591","542","152","8.8 %","13.9 %",".096",".285",".252",".321",".348",".303","93","4.3","-41.2","-3.4","16.7"
"1974","Angels","1828","6085","95","618","550","120","8.4 %","13.2 %",".102",".280",".254",".321",".356",".312","102","-4.9","8.1","-48.4","16.7"
"2005","Nationals","2352","6142","117","639","615","45","8.0 %","17.7 %",".134",".293",".252",".322",".386",".309","88","-16.4","-112.9","78.8","16.6"
"1967","Twins","2127","6112","131","670","619","55","8.4 %","16.0 %",".129",".269",".240",".309",".369",".306","96","0.8","-25.0","5.3","16.6"
"1956","Indians","1928","5987","153","711","677","40","11.4 %","12.8 %",".137",".258",".244",".335",".381",".324","90","-1.3","-78.1","40.0","16.6"
"2014","Yankees","2288","6082","147","633","591","112","7.4 %","18.6 %",".135",".282",".245",".307",".380",".305","94","4.2","-37.5","-6.7","16.6"
"2013","Blue Jays","2314","6152","185","712","669","112","8.3 %","18.3 %",".158",".284",".252",".318",".411",".320","99","4.6","-2.0","-46.6","16.6"
"1918","Browns","1330","4625","5","426","359","138","8.6 %","7.4 %",".061",".282",".259",".331",".320",".323","96","2.1","-17.1","15.8","16.6"
"1925","Indians","1760","6169","52","783","697","90","8.4 %","6.1 %",".102",".312",".297",".361",".399",".354","93","-2.1","-65.8","25.6","16.6"
"2002","Reds","2353","6254","169","709","678","116","9.3 %","19.0 %",".155",".293",".253",".330",".408",".322","91","1.2","-73.9","36.4","16.6"
"1948","Athletics","1693","6048","68","729","684","40","12.0 %","8.6 %",".102",".278",".260",".353",".362",".341","92","-8.2","-68.8","31.0","16.6"
"1967","Phillies","2063","6096","103","612","553","79","8.9 %","16.9 %",".116",".280",".242",".313",".357",".300","92","-3.3","-56.4","-3.1","16.6"
"1998","Tigers","1897","6243","165","722","691","122","7.3 %","17.1 %",".152",".297",".264",".323",".415",".324","90","-2.6","-86.8","38.9","16.6"
"2006","Athletics","2197","6281","175","771","735","61","10.3 %","15.5 %",".152",".285",".260",".340",".412",".328","97","-16.5","-38.5","-8.1","16.5"
"1981","White Sox","1251","4064","76","476","438","86","7.9 %","12.7 %",".115",".296",".272",".335",".387",".331","110","1.0","44.4","-16.9","16.5"
"2009","Giants","2304","6057","122","657","612","78","6.5 %","19.1 %",".132",".302",".257",".309",".389",".305","83","10.0","-118.1","88.9","16.5"
"1998","Brewers","2277","6232","152","707","673","81","8.5 %","16.7 %",".136",".294",".260",".330",".396",".321","91","-9.5","-83.0","55.2","16.5"
"1928","Browns","1693","6002","63","774","707","80","9.0 %","7.9 %",".118",".292",".274",".346",".393",".344","90","-5.4","-84.2","35.8","16.5"
"1964","Red Sox","2015","6106","186","688","648","18","8.3 %","15.0 %",".158",".279",".258",".322",".416",".327","99","-0.7","-11.3","-4.4","16.5"
"1940","Dodgers","1895","6089","93","697","653","56","8.6 %","9.4 %",".123",".276",".260",".327",".383",".327","93","8.2","-44.5","21.9","16.5"
"1991","Expos","2200","6035","95","579","536","221","8.0 %","17.5 %",".112",".287",".246",".308",".357",".300","88","4.5","-79.5","43.9","16.5"
"1920","Red Sox","1644","5980","22","650","570","98","8.8 %","7.2 %",".082",".290",".269",".342",".351",".332","89","-5.8","-88.8","48.9","16.5"
"1941","Indians","1726","5897","103","675","616","63","8.6 %","10.2 %",".138",".272",".256",".323",".393",".334","90","-9.2","-87.2","36.7","16.5"
"1929","Cardinals","1678","6030","100","831","779","72","8.1 %","7.5 %",".145",".305",".293",".354",".438",".360","93","12.1","-52.0","23.9","16.5"
"2003","Rockies","2352","6283","198","853","814","63","9.9 %","18.0 %",".179",".302",".267",".344",".445",".342","90","1.0","-78.4","39.6","16.5"
"1925","Braves","1697","5943","41","708","643","77","6.8 %","6.4 %",".098",".309",".292",".345",".390",".342","92","-3.6","-67.8","33.2","16.5"
"1962","Indians","2022","6132","180","681","642","35","8.2 %","15.3 %",".143",".263",".244",".312",".388",".313","89","1.2","-84.3","69.3","16.5"
"2014","Red Sox","2283","6226","123","634","601","63","8.6 %","21.5 %",".124",".297",".244",".316",".369",".305","89","-8.3","-83.2","32.9","16.5"
"1925","Browns","1736","6106","110","898","798","85","8.1 %","6.1 %",".142",".305",".298",".360",".440",".367","95","-4.4","-49.5","10.4","16.5"
"2000","Red Sox","2051","6371","167","792","755","43","9.6 %","16.0 %",".156",".297",".267",".341",".423",".334","92","-4.4","-76.1","21.3","16.4"
"1937","Indians","1708","6039","103","817","754","78","9.4 %","9.1 %",".143",".297",".280",".352",".423",".356","95","-10.4","-56.5","7.4","16.4"
"1924","Cubs","1668","5796","66","698","634","137","8.1 %","9.0 %",".102",".298",".276",".340",".378",".338","93","-22.3","-71.4","47.3","16.4"
"1979","Twins","1891","6297","112","764","714","66","8.4 %","11.0 %",".123",".299",".278",".341",".402",".332","98","-2.9","-19.3","-27.9","16.4"
"1980","Rangers","1953","6320","124","756","720","91","7.6 %","9.3 %",".121",".296",".284",".339",".405",".333","107","-2.1","48.8","-106.2","16.4"
"1930","Indians","1759","6120","72","890","830","51","7.9 %","7.5 %",".127",".322",".304",".363",".431",".359","96","-13.4","-48.1","3.1","16.4"
"1935","White Sox","1634","6025","74","737","690","46","9.6 %","6.7 %",".107",".287",".275",".348",".382",".341","88","-5.2","-109.7","73.0","16.4"
"1927","White Sox","1698","5910","36","661","609","89","8.3 %","6.9 %",".100",".296",".278",".344",".378",".339","90","-18.6","-95.1","50.3","16.4"
"1969","Astros","2004","6191","104","676","618","101","11.3 %","15.7 %",".112",".274",".240",".330",".353",".313","96","0.6","-27.5","-36.4","16.4"
"1988","Rangers","1780","6157","112","637","589","130","8.8 %","16.6 %",".117",".288",".252",".320",".368",".310","92","-0.5","-54.4","8.6","16.3"
"1990","Angels","1689","6267","147","690","646","69","9.0 %","16.0 %",".131",".291",".260",".329",".391",".324","104","-5.7","19.4","-63.1","16.3"
"1980","Indians","1770","6259","89","738","692","118","9.9 %","10.0 %",".104",".296",".277",".350",".381",".331","102","-0.3","12.4","-66.6","16.3"
"1933","Braves","1671","5728","54","552","511","25","5.7 %","7.5 %",".094",".266",".252",".299",".345",".301","88","4.0","-74.9","65.2","16.3"
"1918","Senators","1334","5011","4","461","402","137","7.5 %","7.2 %",".059",".278",".256",".319",".315",".314","93","0.4","-33.9","19.9","16.3"
"1981","Angels","1134","4191","97","476","439","44","9.4 %","13.6 %",".124",".278",".256",".330",".380",".326","109","-2.9","36.6","-15.1","16.3"
"1971","Expos","2116","6098","88","622","567","51","8.9 %","13.1 %",".097",".273",".246",".322",".343",".305","88","-4.4","-84.1","36.5","16.3"
"2004","Devil Rays","2182","6098","145","714","685","132","7.7 %","15.5 %",".147",".286",".258",".320",".405",".315","87","16.1","-82.6","41.6","16.3"
"2007","Blue Jays","2308","6197","165","753","719","57","8.6 %","16.8 %",".160",".290",".259",".327",".419",".326","95","-11.3","-47.2","-0.8","16.2"
"1957","Tigers","1906","6003","116","613","574","36","8.4 %","10.7 %",".121",".273",".257",".323",".378",".313","89","-7.1","-89.0","62.9","16.2"
"1946","Senators","1767","5959","60","608","554","51","8.6 %","10.7 %",".106",".286",".260",".328",".366",".330","96","-11.6","-38.1","-15.1","16.2"
"1952","Red Sox","1848","5885","113","668","628","59","9.2 %","12.5 %",".122",".279",".255",".328",".377",".330","89","-0.9","-79.6","48.7","16.2"
"1918","Yankees","1360","4783","20","493","406","88","7.7 %","7.7 %",".073",".278",".257",".320",".330",".321","94","-7.4","-35.5","27.7","16.2"
"1922","White Sox","1592","6020","45","691","635","109","8.0 %","7.6 %",".096",".298",".278",".344",".374",".337","89","-1.3","-93.1","63.0","16.2"
"1969","Yankees","1919","5989","94","562","521","119","9.4 %","14.0 %",".109",".261",".235",".308",".344",".298","86","-2.1","-98.1","79.7","16.1"
"2013","Brewers","2335","6064","157","640","610","142","6.7 %","19.5 %",".145",".294",".252",".311",".398",".311","91","-6.5","-65.6","35.3","16.1"
"1916","Indians","1762","5850","16","630","533","159","8.9 %","10.3 %",".082",".281",".250",".324",".331",".321","92","-3.9","-55.7","21.9","16.1"
"1968","Dodgers","2022","5935","67","470","434","57","7.4 %","16.5 %",".089",".268",".230",".289",".319",".277","90","-2.6","-62.2","-0.7","16.1"
"1979","Mariners","1850","6206","132","711","676","126","8.3 %","11.7 %",".135",".286",".269",".331",".404",".327","96","6.1","-24.5","-22.9","16.1"
"1948","Tigers","1857","6062","78","700","661","22","11.1 %","8.3 %",".109",".283",".267",".353",".375",".346","93","-11.8","-63.2","20.1","16.1"
"1996","Reds","2287","6213","191","778","733","171","9.7 %","18.3 %",".166",".289",".256",".331",".422",".329","97","4.4","-21.7","2.0","16.1"
"1959","Pirates","1961","5952","112","651","617","32","7.4 %","12.0 %",".121",".284",".263",".320",".384",".312","89","-2.0","-86.4","37.1","16.1"
"2008","Blue Jays","2244","6191","126","714","681","80","8.4 %","15.2 %",".135",".295",".264",".331",".399",".322","94","-10.9","-60.7","10.3","16.1"
"1987","Mariners","1712","6145","161","760","717","174","8.1 %","14.0 %",".156",".295",".272",".335",".428",".333","99","1.1","-9.0","-37.0","16.1"
"1988","Cubs","2094","6203","113","660","612","120","6.5 %","14.7 %",".122",".291",".261",".310",".383",".309","92","2.0","-54.4","10.4","16.1"
"1931","Pirates","1666","5993","41","634","597","59","8.2 %","7.6 %",".094",".284",".266",".329",".360",".323","87","10.5","-92.7","67.1","16.1"
"1987","Expos","2180","6162","120","741","695","166","8.1 %","14.9 %",".135",".297",".265",".328",".401",".317","91","-0.8","-74.7","25.5","16.1"
"2011","Marlins","2348","6232","149","625","596","95","8.7 %","20.0 %",".142",".291",".247",".318",".388",".311","92","2.1","-56.1","14.5","16.1"
"2009","Diamondbacks","2301","6269","173","720","686","102","9.1 %","20.7 %",".165",".299",".253",".324",".418",".324","89","13.1","-75.3","34.7","16.1"
"1941","Athletics","1694","5991","85","713","659","27","9.6 %","9.8 %",".119",".289",".268",".340",".387",".341","91","-12.1","-84.2","25.9","16.1"
"2006","Red Sox","2346","6435","192","820","777","51","10.4 %","16.4 %",".166",".298",".269",".351",".435",".340","100","-10.3","-13.3","-43.5","16.1"
"2016","Rockies","2005","6236","204","845","805","66","7.9 %","21.3 %",".182",".326",".275",".336",".457",".339","92","1.5","-59.1","17.9","16.1"
"2009","Indians","2188","6320","161","773","730","84","9.2 %","19.2 %",".153",".308",".264",".339",".417",".333","100","-1.1","-0.7","-54.8","16.1"
"1919","Pirates","1406","5049","17","472","394","196","6.8 %","7.5 %",".076",".269",".249",".306",".325",".304","88","14.9","-46.0","50.4","16.0"
"1998","Phillies","2166","6300","126","713","672","97","8.1 %","17.1 %",".131",".303",".264",".326",".395",".317","87","-0.3","-105.3","69.6","16.0"
"1970","Astros","2077","6305","129","744","694","114","9.5 %","14.4 %",".131",".288",".259",".332",".391",".323","94","8.5","-39.1","-24.1","16.0"
"2014","Reds","2213","5978","131","595","562","122","6.9 %","20.9 %",".127",".284",".238",".296",".365",".294","83","-0.1","-114.3","82.4","16.0"
"1941","Giants","1806","6018","95","667","625","36","8.4 %","8.6 %",".112",".273",".260",".326",".371",".328","94","4.5","-34.4","11.5","16.0"
"1974","Brewers","1854","6090","120","647","612","106","8.2 %","14.9 %",".125",".271",".244",".309",".369",".311","95","-6.3","-37.6","-5.6","16.0"
"2016","Diamondbacks","1999","6260","190","752","709","137","7.4 %","22.8 %",".171",".315",".261",".320",".432",".321","93","18.2","-37.5","-5.6","16.0"
"1932","Tigers","1706","5992","80","798","742","105","8.1 %","8.7 %",".128",".291",".273",".335",".401",".336","87","-1.6","-106.8","54.8","16.0"
"1972","Cardinals","1941","5884","70","568","518","104","7.4 %","13.5 %",".095",".292",".260",".317",".355",".306","90","5.1","-60.1","3.6","15.9"
"2006","Brewers","2206","6130","180","730","695","71","8.2 %","20.1 %",".162",".300",".258",".327",".420",".322","89","-1.5","-87.8","47.7","15.9"
"1970","Padres","2178","6145","172","681","629","60","8.1 %","18.9 %",".145",".282",".246",".312",".391",".315","92","-4.1","-66.9","9.8","15.9"
"2014","Mariners","2333","5977","136","634","600","96","6.6 %","20.6 %",".132",".290",".244",".300",".376",".299","94","2.4","-37.9","-9.5","15.9"
"1989","Mariners","1724","6134","134","694","653","81","8.0 %","13.7 %",".126",".279",".257",".320",".384",".318","96","-7.6","-38.2","-13.7","15.9"
"2006","Rangers","2227","6273","183","835","799","53","8.1 %","16.9 %",".168",".311",".278",".338",".446",".337","97","-7.4","-31.5","-21.7","15.9"
"2009","Padres","2348","6179","141","638","605","82","9.5 %","19.1 %",".138",".284",".242",".321",".381",".309","93","-10.4","-67.1","27.5","15.9"
"1966","Red Sox","2101","6175","145","655","617","35","8.8 %","16.5 %",".137",".268",".240",".310",".376",".304","89","0.7","-73.0","54.1","15.9"
"1988","Brewers","1677","6066","113","682","632","159","7.2 %","15.0 %",".118",".288",".257",".314",".375",".308","92","6.4","-52.4","4.9","15.9"
"1955","Giants","2040","5940","169","702","643","38","8.4 %","9.8 %",".141",".263",".260",".325",".402",".326","93","3.6","-49.9","39.0","15.8"
"2012","Dodgers","2356","6091","116","637","607","104","7.9 %","19.0 %",".122",".298",".252",".317",".374",".302","90","-7.9","-81.2","43.2","15.8"
"1971","Twins","2050","6072","116","654","618","66","8.4 %","13.9 %",".112",".286",".260",".323",".372",".315","94","-1.7","-42.2","-0.6","15.8"
"2007","Padres","2334","6326","171","741","704","55","8.8 %","19.4 %",".160",".291",".251",".322",".411",".320","96","3.3","-30.2","-16.6","15.8"
"2000","Cubs","2266","6394","183","764","722","93","9.9 %","17.5 %",".156",".288",".256",".335",".411",".327","89","2.4","-94.1","47.8","15.8"
"1929","Senators","1728","5994","48","732","656","87","9.2 %","6.6 %",".099",".292",".276",".347",".375",".337","88","-13.3","-110.0","53.3","15.8"
"1968","Twins","2142","5974","105","562","522","98","7.4 %","16.2 %",".112",".269",".237",".299",".350",".296","93","2.0","-42.1","21.2","15.8"
"1925","Giants","1711","5854","114","736","682","79","7.0 %","8.4 %",".132",".295",".283",".337",".415",".346","93","-0.8","-59.1","21.2","15.7"
"1989","White Sox","1685","6132","94","693","661","97","7.6 %","14.2 %",".112",".305",".271",".328",".383",".320","100","-3.3","-6.4","-49.5","15.7"
